               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037868,            0.095637,            0.050486,             0.21038,             0.72238,              0.2744,             0.17705,            0.026809,             0.06722,            0.040959,             0.07025,           0.0033056,           0.0033056
                   1,            0.035605,            0.084143,            0.041073,             0.21794,             0.80141,             0.29704,             0.18629,            0.027601,            0.061291,             0.03853,            0.040184,           0.0065732,           0.0065732
                   2,            0.035161,            0.076977,            0.039455,             0.22912,             0.85894,             0.30952,             0.19421,            0.027433,            0.062423,            0.037984,            0.010053,           0.0097748,           0.0097748
                   3,            0.036037,            0.075237,             0.03924,             0.23428,             0.86719,             0.33501,             0.17926,            0.033252,            0.061708,            0.037906,            0.009703,            0.009703,            0.009703
                   4,            0.036262,            0.072204,            0.038752,             0.23954,             0.84188,             0.35257,              0.2112,            0.029595,            0.056489,            0.037387,            0.009703,            0.009703,            0.009703
                   5,            0.033919,            0.069639,            0.037803,             0.24498,              0.7725,             0.38566,             0.23146,            0.028226,            0.058042,             0.03667,            0.009604,            0.009604,            0.009604
                   6,            0.033844,            0.068571,            0.036926,             0.28237,             0.68653,             0.41323,             0.25981,            0.025975,            0.055119,            0.035946,            0.009505,            0.009505,            0.009505
                   7,            0.033225,            0.066758,            0.036343,                0.31,             0.68888,             0.43315,             0.28069,            0.026801,            0.054605,            0.035396,            0.009406,            0.009406,            0.009406
                   8,            0.032655,            0.066039,            0.035737,             0.31626,             0.61436,             0.46896,             0.31386,            0.023783,            0.052538,            0.033819,            0.009307,            0.009307,            0.009307
                   9,            0.032143,            0.063761,            0.034463,             0.31972,              0.7374,             0.48608,             0.31492,            0.025521,            0.053319,            0.032795,            0.009208,            0.009208,            0.009208
                  10,            0.030934,            0.063595,            0.034353,             0.32454,              0.7398,             0.50957,             0.31112,            0.027188,            0.052748,            0.031778,            0.009109,            0.009109,            0.009109
                  11,             0.03077,            0.061189,            0.033232,             0.38661,             0.71626,             0.55571,             0.35159,            0.024526,            0.051862,            0.029901,             0.00901,             0.00901,             0.00901
                  12,             0.03033,            0.062688,            0.032383,             0.42075,             0.72147,             0.57674,             0.39308,            0.022451,            0.051164,            0.028523,            0.008911,            0.008911,            0.008911
                  13,             0.03055,            0.062429,            0.030568,             0.47871,             0.70566,             0.63393,             0.42899,            0.024321,             0.05055,            0.027114,            0.008812,            0.008812,            0.008812
                  14,            0.030348,            0.064602,            0.029654,             0.49965,             0.75052,             0.63844,             0.42525,            0.023894,            0.050384,            0.025677,            0.008713,            0.008713,            0.008713
                  15,            0.029543,            0.061434,             0.02912,             0.52754,             0.72777,             0.66214,             0.44353,            0.024225,            0.050467,             0.02555,            0.008614,            0.008614,            0.008614
                  16,            0.029021,             0.05984,             0.02847,             0.52351,             0.76189,             0.68916,             0.48219,            0.022117,            0.049674,            0.023922,            0.008515,            0.008515,            0.008515
                  17,            0.027427,            0.058062,            0.026516,             0.61365,             0.74865,             0.72192,             0.50058,            0.022237,             0.04856,            0.022619,            0.008416,            0.008416,            0.008416
                  18,            0.027961,            0.056896,            0.026603,             0.61153,             0.78234,             0.74631,             0.50772,            0.024028,            0.049186,            0.021343,            0.008317,            0.008317,            0.008317
                  19,            0.029709,            0.062407,            0.024364,              0.6905,              0.7859,             0.78191,             0.55936,            0.022185,            0.047924,             0.02006,            0.008218,            0.008218,            0.008218
                  20,             0.02884,            0.056949,            0.023571,             0.69905,             0.83508,             0.79471,             0.56278,             0.02286,            0.048596,            0.018805,            0.008119,            0.008119,            0.008119
                  21,            0.027969,            0.055632,            0.022901,             0.69757,             0.85086,             0.80452,             0.55032,            0.024387,            0.048786,             0.01694,             0.00802,             0.00802,             0.00802
                  22,            0.028102,            0.059819,            0.021176,             0.75224,             0.88641,             0.82331,             0.59673,            0.021017,            0.046998,            0.014676,            0.007921,            0.007921,            0.007921
                  23,            0.028064,            0.058281,            0.020214,             0.75894,             0.90898,             0.84278,             0.60767,            0.022147,            0.047193,            0.013932,            0.007822,            0.007822,            0.007822
                  24,            0.027635,            0.056824,            0.019209,             0.71969,             0.87838,             0.82056,              0.5933,            0.021326,            0.046619,            0.015348,            0.007723,            0.007723,            0.007723
                  25,            0.027188,            0.058216,            0.018517,             0.75711,             0.91737,             0.84846,             0.62985,            0.020768,            0.045532,            0.012871,            0.007624,            0.007624,            0.007624
                  26,            0.026968,            0.056122,            0.018054,             0.77646,             0.92173,             0.85313,             0.62463,             0.02093,            0.045883,            0.012416,            0.007525,            0.007525,            0.007525
                  27,            0.027246,            0.056034,            0.017259,             0.77323,             0.91902,             0.85601,             0.65557,            0.018575,            0.044386,               0.012,            0.007426,            0.007426,            0.007426
                  28,             0.02682,            0.055635,             0.01711,             0.75587,             0.87908,             0.86095,             0.64013,            0.020378,            0.045253,            0.012696,            0.007327,            0.007327,            0.007327
                  29,            0.026248,            0.055584,            0.015916,             0.82403,              0.8911,             0.88104,             0.66865,            0.019359,            0.044388,            0.011054,            0.007228,            0.007228,            0.007228
                  30,            0.026409,            0.054858,            0.015964,             0.81982,             0.87394,             0.87877,             0.64319,            0.021383,            0.046116,            0.012231,            0.007129,            0.007129,            0.007129
                  31,            0.026275,            0.053718,            0.015664,             0.83406,             0.87891,             0.89581,             0.68886,            0.019426,            0.044545,            0.010479,             0.00703,             0.00703,             0.00703
                  32,            0.026503,              0.0576,            0.015657,             0.85579,             0.88246,              0.9019,             0.67629,            0.020612,            0.044535,            0.010786,            0.006931,            0.006931,            0.006931
                  33,            0.025763,            0.052709,            0.014866,             0.87737,             0.89586,             0.91862,             0.70274,            0.019244,            0.044712,            0.010363,            0.006832,            0.006832,            0.006832
                  34,            0.025108,             0.05418,             0.01467,             0.89418,             0.89299,             0.92601,             0.71894,            0.018063,            0.044009,            0.009704,            0.006733,            0.006733,            0.006733
                  35,            0.024922,            0.055076,            0.014087,             0.88573,             0.90688,              0.9258,             0.71132,             0.01941,            0.044299,           0.0094349,            0.006634,            0.006634,            0.006634
                  36,             0.02485,            0.053385,            0.013757,              0.9104,             0.92095,             0.94859,             0.71975,            0.020094,             0.04463,           0.0087545,            0.006535,            0.006535,            0.006535
                  37,            0.024932,            0.051389,            0.013457,             0.91497,              0.9309,             0.95169,             0.73184,            0.018709,              0.0432,           0.0081888,            0.006436,            0.006436,            0.006436
                  38,            0.024552,            0.052055,             0.01255,             0.92109,             0.92649,             0.95232,             0.73126,            0.018529,            0.043186,           0.0075976,            0.006337,            0.006337,            0.006337
                  39,            0.024829,            0.054602,            0.012186,             0.93085,             0.93178,             0.95877,             0.74476,            0.018388,            0.043166,           0.0067579,            0.006238,            0.006238,            0.006238
                  40,            0.024357,            0.053088,            0.011947,             0.92492,             0.92243,             0.95533,             0.75533,            0.017925,            0.042137,           0.0067431,            0.006139,            0.006139,            0.006139
                  41,            0.024129,            0.051122,            0.011854,              0.9189,             0.94882,              0.9608,             0.73938,            0.018903,            0.042866,           0.0060686,             0.00604,             0.00604,             0.00604
                  42,            0.023678,            0.053833,            0.011135,             0.93031,             0.94493,             0.96364,             0.74518,            0.017812,            0.042054,           0.0056714,            0.005941,            0.005941,            0.005941
                  43,            0.023739,             0.05132,            0.010743,             0.93767,             0.93391,             0.95988,             0.75732,             0.01795,             0.04227,           0.0056435,            0.005842,            0.005842,            0.005842
                  44,            0.023782,            0.052101,            0.010305,             0.93736,             0.94017,             0.95933,             0.75922,            0.017017,            0.041936,            0.005305,            0.005743,            0.005743,            0.005743
                  45,            0.023026,            0.049804,             0.01002,             0.92891,             0.93874,             0.96322,             0.74495,            0.018257,              0.0419,           0.0051343,            0.005644,            0.005644,            0.005644
                  46,            0.023616,             0.05275,            0.010318,             0.93617,             0.94191,             0.96406,             0.76832,            0.016733,            0.041359,           0.0050835,            0.005545,            0.005545,            0.005545
                  47,            0.022817,             0.05134,           0.0091686,              0.9494,             0.95296,             0.96742,             0.77605,            0.017078,            0.041327,           0.0042856,            0.005446,            0.005446,            0.005446
                  48,            0.022462,            0.050166,           0.0091933,             0.95065,             0.94738,             0.96547,             0.76952,            0.017118,            0.041429,           0.0041748,            0.005347,            0.005347,            0.005347
                  49,            0.022761,            0.050733,           0.0092755,             0.94129,             0.95296,               0.965,             0.77435,            0.016856,            0.041401,           0.0044523,            0.005248,            0.005248,            0.005248
                  50,            0.022493,            0.049434,           0.0092802,             0.94597,             0.95013,             0.96636,             0.77517,            0.016872,            0.041256,           0.0041567,            0.005149,            0.005149,            0.005149
                  51,            0.022534,            0.048805,           0.0091588,              0.9357,             0.95099,             0.96438,             0.76834,            0.017247,            0.041436,            0.004494,             0.00505,             0.00505,             0.00505
                  52,            0.022004,            0.049431,           0.0084648,             0.94462,             0.94582,             0.96629,             0.77525,            0.016286,            0.040546,           0.0042647,            0.004951,            0.004951,            0.004951
                  53,            0.021963,             0.04771,           0.0087839,             0.94302,             0.95145,             0.96668,             0.77616,            0.017143,            0.041201,           0.0040027,            0.004852,            0.004852,            0.004852
                  54,            0.021879,            0.050158,           0.0081538,             0.94796,             0.94857,             0.96875,             0.78156,             0.01606,            0.040438,           0.0039274,            0.004753,            0.004753,            0.004753
                  55,            0.022037,            0.050245,           0.0082531,             0.94577,              0.9536,              0.9659,             0.78243,            0.016452,            0.040653,           0.0041271,            0.004654,            0.004654,            0.004654
                  56,            0.021719,            0.047313,           0.0078852,             0.94118,               0.961,             0.96897,             0.79325,            0.015664,            0.039786,             0.00368,            0.004555,            0.004555,            0.004555
                  57,            0.021513,            0.047826,           0.0082033,             0.94601,             0.95146,             0.96856,             0.78263,            0.016422,            0.040186,           0.0037729,            0.004456,            0.004456,            0.004456
                  58,            0.021186,            0.047769,           0.0082189,             0.93822,             0.95292,             0.96674,             0.79266,            0.015456,            0.039286,           0.0039517,            0.004357,            0.004357,            0.004357
                  59,            0.021086,            0.047794,           0.0075715,              0.9486,             0.95921,             0.96886,              0.7885,            0.016099,            0.039891,           0.0034442,            0.004258,            0.004258,            0.004258
                  60,             0.02104,            0.048121,            0.007748,             0.94958,             0.96106,             0.97156,             0.79644,            0.015261,            0.039401,           0.0036444,            0.004159,            0.004159,            0.004159
                  61,            0.020452,            0.045199,           0.0075605,             0.95629,             0.96059,              0.9706,             0.79491,            0.015626,            0.039373,           0.0033614,             0.00406,             0.00406,             0.00406
                  62,            0.020786,            0.047865,           0.0075921,             0.94861,             0.95889,             0.96959,             0.79953,            0.015397,            0.039579,           0.0035377,            0.003961,            0.003961,            0.003961
                  63,            0.020674,            0.047582,           0.0071816,             0.95142,             0.95719,             0.97053,             0.80112,            0.015103,            0.038552,           0.0035212,            0.003862,            0.003862,            0.003862
                  64,            0.020146,            0.045886,           0.0073269,             0.95121,             0.96002,              0.9655,             0.79408,            0.015139,            0.039848,           0.0036455,            0.003763,            0.003763,            0.003763
                  65,            0.020359,            0.047218,           0.0072088,             0.94845,              0.9594,             0.96824,             0.79385,            0.015213,            0.039802,           0.0035385,            0.003664,            0.003664,            0.003664
                  66,            0.020026,            0.046215,           0.0069653,             0.95833,             0.95766,             0.96831,             0.79715,            0.015118,            0.039305,           0.0031565,            0.003565,            0.003565,            0.003565
                  67,             0.01967,            0.044418,           0.0069248,             0.95159,             0.96077,              0.9699,             0.79993,            0.015138,            0.038932,           0.0033495,            0.003466,            0.003466,            0.003466
                  68,             0.01991,            0.046217,           0.0067202,             0.95372,             0.95863,             0.96872,             0.80491,            0.014665,            0.038271,           0.0032384,            0.003367,            0.003367,            0.003367
                  69,            0.019743,            0.045636,           0.0065093,             0.95533,             0.95802,             0.96683,             0.80245,            0.015081,            0.038616,           0.0032862,            0.003268,            0.003268,            0.003268
                  70,            0.019609,            0.043878,           0.0071921,             0.94637,             0.95603,             0.96837,             0.80263,            0.014796,            0.039007,           0.0034295,            0.003169,            0.003169,            0.003169
                  71,            0.019429,            0.045683,           0.0066777,             0.95492,             0.95859,             0.97025,             0.80295,            0.014827,            0.038611,           0.0032034,             0.00307,             0.00307,             0.00307
                  72,            0.019434,            0.044689,           0.0065901,             0.95224,             0.96116,             0.96801,             0.80532,            0.014572,            0.038425,           0.0032965,            0.002971,            0.002971,            0.002971
                  73,            0.019048,            0.044654,           0.0066153,             0.95553,             0.96327,             0.97011,             0.80645,            0.014761,            0.038316,           0.0030964,            0.002872,            0.002872,            0.002872
                  74,            0.018933,            0.043211,           0.0062232,             0.95311,             0.95929,             0.96996,             0.80712,            0.014539,            0.038576,           0.0031827,            0.002773,            0.002773,            0.002773
                  75,            0.019233,            0.044965,           0.0062782,             0.95462,             0.95984,             0.96894,             0.81006,            0.014331,            0.038232,           0.0031939,            0.002674,            0.002674,            0.002674
                  76,            0.018504,            0.043849,           0.0059337,             0.95323,             0.95973,             0.96771,             0.80463,            0.014544,            0.038837,           0.0031775,            0.002575,            0.002575,            0.002575
                  77,            0.018552,            0.044921,           0.0061311,             0.95461,             0.96317,             0.96902,             0.80831,            0.014621,            0.038239,           0.0030375,            0.002476,            0.002476,            0.002476
                  78,            0.018332,            0.043402,           0.0059186,             0.95875,             0.96113,             0.97265,             0.81456,            0.014272,            0.038314,            0.002902,            0.002377,            0.002377,            0.002377
                  79,            0.018268,            0.042392,           0.0063665,             0.95459,             0.96333,             0.96811,             0.81168,            0.014069,            0.038226,             0.00305,            0.002278,            0.002278,            0.002278
                  80,            0.017594,            0.043612,           0.0057994,             0.95201,             0.96611,             0.96775,             0.81794,            0.013889,            0.037375,           0.0028669,            0.002179,            0.002179,            0.002179
                  81,            0.017508,            0.041531,           0.0056217,             0.95506,             0.96123,             0.96813,             0.81577,            0.013877,            0.037461,            0.002849,             0.00208,             0.00208,             0.00208
                  82,            0.017959,            0.043381,           0.0058413,             0.94917,             0.95902,             0.96695,             0.81393,            0.014064,              0.0378,           0.0029951,            0.001981,            0.001981,            0.001981
                  83,            0.017394,            0.040143,           0.0054226,             0.95057,             0.96223,             0.96775,             0.81194,            0.013852,            0.038306,           0.0029492,            0.001882,            0.001882,            0.001882
                  84,            0.017366,            0.040998,           0.0056967,             0.95476,             0.96329,             0.96694,             0.81773,            0.013776,            0.037896,           0.0028751,            0.001783,            0.001783,            0.001783
                  85,            0.017152,            0.042359,           0.0054383,             0.95722,             0.96272,             0.96819,             0.81811,            0.013783,             0.03781,           0.0028758,            0.001684,            0.001684,            0.001684
                  86,            0.017455,            0.042072,           0.0056426,             0.95655,             0.96644,              0.9705,             0.82202,             0.01366,            0.037483,           0.0027909,            0.001585,            0.001585,            0.001585
                  87,            0.017093,            0.040793,           0.0054317,             0.95667,             0.96593,             0.96868,             0.81957,            0.013602,            0.037341,           0.0027971,            0.001486,            0.001486,            0.001486
                  88,            0.016416,            0.038507,           0.0056143,             0.95429,             0.96277,             0.96816,             0.82159,            0.013509,            0.037215,           0.0029006,            0.001387,            0.001387,            0.001387
                  89,            0.016583,            0.039504,           0.0052895,             0.95783,             0.96041,             0.96731,             0.82024,            0.013554,            0.037161,           0.0028802,            0.001288,            0.001288,            0.001288
                  90,            0.016968,            0.040973,           0.0051953,             0.95149,             0.96898,             0.96795,              0.8204,            0.013459,            0.037222,           0.0029393,            0.001189,            0.001189,            0.001189
                  91,            0.016582,            0.039898,           0.0053616,             0.95649,             0.96566,             0.96797,             0.82435,            0.013393,            0.037005,           0.0028832,             0.00109,             0.00109,             0.00109
                  92,            0.016735,            0.040894,           0.0048309,             0.95498,             0.96689,             0.96802,             0.82576,            0.013267,            0.036942,           0.0028513,            0.000991,            0.000991,            0.000991
                  93,            0.016616,            0.040411,            0.004888,              0.9581,             0.96707,             0.96834,             0.82319,            0.013308,             0.03708,           0.0028017,            0.000892,            0.000892,            0.000892
                  94,            0.016576,            0.039448,           0.0049648,             0.95786,             0.96749,             0.96874,             0.82273,            0.013237,            0.036673,           0.0027646,            0.000793,            0.000793,            0.000793
                  95,            0.016225,            0.039485,           0.0048714,             0.95736,             0.96813,               0.968,             0.82597,            0.013184,            0.036434,           0.0028399,            0.000694,            0.000694,            0.000694
                  96,            0.016185,            0.040878,           0.0045938,             0.95782,             0.96909,             0.96913,             0.82731,            0.013088,            0.036536,           0.0027759,            0.000595,            0.000595,            0.000595
                  97,             0.01658,            0.041399,           0.0048621,             0.95989,             0.96853,             0.96918,             0.82724,            0.013087,            0.036511,           0.0027499,            0.000496,            0.000496,            0.000496
                  98,            0.016354,            0.039671,           0.0049337,             0.96001,             0.96855,             0.96887,             0.82705,            0.013079,            0.036525,           0.0027291,            0.000397,            0.000397,            0.000397
                  99,            0.015994,            0.039994,           0.0046382,             0.95955,             0.96817,             0.96867,               0.828,            0.013008,            0.036287,           0.0027321,            0.000298,            0.000298,            0.000298
